# Goxel 0.10.4
# One line per voxel
# X Y Z RRGGBB
-11 -10 0 0197fd
-10 -10 0 0197fd
-9 -10 0 0197fd
-8 -10 0 0197fd
-7 -10 0 0197fd
-11 -9 0 0197fd
-9 -9 0 0197fd
-11 -8 0 0197fd
-10 -8 0 0197fd
-9 -8 0 0197fd
-8 -8 0 0197fd
-7 -8 0 0197fd
-11 -7 0 0197fd
-3 -7 0 ffff99
-2 -7 0 ffff99
-1 -7 0 ffff99
-11 -6 0 0197fd
-10 -6 0 0197fd
-7 -6 0 ffff99
-6 -6 0 ffff99
-5 -6 0 ffff99
-4 -6 0 ffff99
-3 -6 0 ffff99
-2 -6 0 ffff99
-1 -6 0 ffff99
-8 -5 0 ffff99
-7 -5 0 ffff99
-6 -5 0 ffff99
-5 -5 0 ffff99
-4 -5 0 98fc66
-3 -5 0 98fc66
-2 -5 0 98fc66
-1 -5 0 98fc66
-8 -4 0 ffff99
-7 -4 0 ffff99
-6 -4 0 98fc66
-5 -4 0 98fc66
-4 -4 0 98fc66
-3 -4 0 98fc66
-2 -4 0 98fc66
-1 -4 0 98fc66
-8 -3 0 ffff99
-7 -3 0 ffff99
-6 -3 0 ffff99
-5 -3 0 98fc66
-4 -3 0 98fc66
-3 -3 0 98fc66
-2 -3 0 98fc66
-1 -3 0 98fc66
-8 -2 0 ffff99
-7 -2 0 ffff99
-6 -2 0 98fc66
-5 -2 0 98fc66
-4 -2 0 98fc66
-3 -2 0 98fc66
-2 -2 0 98fc66
-1 -2 0 98fc66
-8 -1 0 ffff99
-7 -1 0 ffff99
-6 -1 0 98fc66
-5 -1 0 98fc66
-4 -1 0 98fc66
-3 -1 0 98fc66
-2 -1 0 98fc66
-1 -1 0 98fc66
-5 -4 1 98fc66
-4 -3 1 816647
-3 -3 1 816647
-2 -3 1 816647
-7 -2 1 98fc66
-4 -2 1 816647
-3 -2 1 816647
-2 -2 1 816647
-4 -1 1 816647
-3 -1 1 816647
-2 -1 1 816647
-4 -3 2 816647
-3 -3 2 816647
-2 -3 2 816647
-4 -2 2 816647
-3 -2 2 816647
-2 -2 2 816647
-4 -1 2 816647
-3 -1 2 816647
-2 -1 2 816647
