# Goxel 0.10.4			--- Brain from https://free3d.com/3d-model/brain-18357.html ---
# One line per voxel
# X Y Z RRGGBB
0 2 0 ffffff
0 3 0 fefefe
0 0 1 fefefe
1 0 1 fefefe
2 0 1 ffffff
3 0 1 ffffff
4 0 1 ffffff
0 1 1 fefefe
1 1 1 fefefe
2 1 1 ffffff
3 1 1 ffffff
4 1 1 ffffff
0 2 1 ffffff
1 2 1 ffffff
2 2 1 ffffff
3 2 1 ffffff
4 2 1 ffffff
0 3 1 ffffff
1 3 1 ffffff
2 3 1 fefefe
3 3 1 ffffff
0 4 1 ffffff
1 4 1 ffffff
2 4 1 ffffff
0 5 1 ffffff
1 5 1 fefefe
4 0 2 ffffff
5 0 2 fefefe
3 1 2 ffffff
4 1 2 ffffff
5 1 2 ffffff
2 2 2 fefefe
3 2 2 fefefe
4 2 2 ffffff
1 3 2 fefefe
2 3 2 ffffff
3 3 2 ffffff
4 3 2 ffffff
0 4 2 ffffff
1 4 2 ffffff
2 4 2 ffffff
3 4 2 ffffff
0 5 2 ffffff
1 5 2 ffffff
2 5 2 ffffff
4 0 3 ffffff
5 0 3 fefefe
4 1 3 fefefe
5 1 3 ffffff
3 2 3 ffffff
4 2 3 ffffff
5 2 3 ffffff
3 3 3 ffffff
4 3 3 ffffff
2 4 3 ffffff
3 4 3 ffffff
4 4 3 fefefe
0 5 3 fefefe
1 5 3 ffffff
2 5 3 fefefe
3 5 3 ffffff
3 0 4 ffffff
4 0 4 ffffff
5 0 4 ffffff
3 1 4 ffffff
4 1 4 ffffff
5 1 4 ffffff
3 2 4 ffffff
4 2 4 ffffff
5 2 4 ffffff
2 3 4 ffffff
3 3 4 ffffff
4 3 4 ffffff
5 3 4 ffffff
2 4 4 fefefe
3 4 4 ffffff
4 4 4 fefefe
0 5 4 ffffff
1 5 4 ffffff
2 5 4 ffffff
3 5 4 ffffff
4 5 4 ffffff
0 6 4 ffffff
0 7 4 fefefe
1 7 4 fefefe
2 7 4 ffffff
0 8 4 ffffff
1 8 4 ffffff
1 0 5 fefefe
2 0 5 ffffff
3 0 5 ffffff
4 0 5 ffffff
5 0 5 ffffff
6 0 5 ffffff
1 1 5 ffffff
2 1 5 ffffff
3 1 5 ffffff
4 1 5 ffffff
5 1 5 fefefe
6 1 5 ffffff
0 2 5 ffffff
1 2 5 ffffff
2 2 5 ffffff
3 2 5 fefefe
4 2 5 fefefe
5 2 5 fefefe
0 3 5 ffffff
1 3 5 fefefe
2 3 5 ffffff
3 3 5 ffffff
4 3 5 ffffff
5 3 5 ffffff
0 4 5 ffffff
1 4 5 ffffff
2 4 5 ffffff
3 4 5 fefefe
4 4 5 ffffff
5 4 5 ffffff
0 5 5 ffffff
1 5 5 ffffff
2 5 5 ffffff
3 5 5 ffffff
4 5 5 fefefe
0 6 5 ffffff
2 6 5 ffffff
0 7 5 ffffff
1 7 5 ffffff
2 7 5 ffffff
