# Goxel 0.10.4
# One line per voxel
# X Y Z RRGGBB
1 -3 2 8f563b
0 -3 3 8f563b
1 -3 3 8f563b
0 -2 3 8f563b
1 -2 3 8f563b
0 -1 3 8f563b
1 -1 3 8f563b
0 -3 4 8f563b
1 -3 4 8f563b
0 -2 4 8f563b
1 -2 4 8f563b
0 -1 4 8f563b
1 -1 4 8f563b
0 -4 5 ac3232
0 -3 5 8f563b
1 -3 5 8f563b
0 -2 5 8f563b
1 -2 5 8f563b
0 -1 5 8f563b
1 -1 5 8f563b
0 -4 6 ac3232
2 -4 6 8f563b
0 -3 6 8f563b
0 -5 7 8f563b
0 -4 7 ffffff
1 -4 7 8f563b
2 -4 7 8f563b
0 -3 7 8f563b
1 -3 7 8f563b
1 -5 8 000000
0 -4 8 8f563b
1 -4 8 8f563b
2 -4 8 8f563b
0 -3 8 8f563b
1 -3 8 8f563b
-1 -3 2 8f563b
-1 -3 3 8f563b
-1 -2 3 8f563b
-1 -1 3 8f563b
-1 -3 4 8f563b
-1 -2 4 8f563b
-1 -1 4 8f563b
-1 -3 5 8f563b
-1 -2 5 8f563b
-1 -1 5 8f563b
-2 -4 6 8f563b
-2 -4 7 8f563b
-1 -4 7 8f563b
-1 -3 7 8f563b
-1 -5 8 000000
-2 -4 8 8f563b
-1 -4 8 8f563b
-1 -3 8 8f563b
-1 6 2 8f563b
-1 0 3 8f563b
-1 1 3 8f563b
-1 2 3 8f563b
-1 3 3 8f563b
-1 4 3 8f563b
-1 5 3 8f563b
-1 6 3 8f563b
-1 0 4 8f563b
-1 1 4 8f563b
-1 2 4 8f563b
-1 3 4 8f563b
-1 4 4 8f563b
-1 5 4 8f563b
-1 6 4 8f563b
-1 0 5 8f563b
-1 1 5 8f563b
-1 2 5 8f563b
-1 3 5 8f563b
-1 4 5 8f563b
-1 5 5 8f563b
-1 6 5 8f563b
1 6 2 8f563b
0 0 3 8f563b
1 0 3 8f563b
0 1 3 8f563b
1 1 3 8f563b
0 2 3 8f563b
1 2 3 8f563b
0 3 3 8f563b
1 3 3 8f563b
0 4 3 8f563b
1 4 3 8f563b
0 5 3 8f563b
1 5 3 8f563b
0 6 3 8f563b
1 6 3 8f563b
0 0 4 8f563b
1 0 4 8f563b
0 1 4 8f563b
1 1 4 8f563b
0 2 4 8f563b
1 2 4 8f563b
0 3 4 8f563b
1 3 4 8f563b
0 4 4 8f563b
1 4 4 8f563b
0 5 4 8f563b
1 5 4 8f563b
0 6 4 8f563b
1 6 4 8f563b
0 0 5 8f563b
1 0 5 8f563b
0 1 5 8f563b
1 1 5 8f563b
0 2 5 8f563b
1 2 5 8f563b
0 3 5 8f563b
1 3 5 8f563b
0 4 5 8f563b
1 4 5 8f563b
0 5 5 8f563b
1 5 5 8f563b
0 6 5 8f563b
1 6 5 8f563b
0 7 5 8f563b
