# Goxel 0.11.1
# One line per voxel
# X Y Z RRGGBB
-1 -7 -16 fefefe
-1 -6 -16 ffffff
-1 -15 -15 fefefe
-1 -14 -15 fefefe
-2 -13 -15 ffffff
-1 -13 -15 ffffff
-2 -12 -15 ffffff
-1 -12 -15 ffffff
-2 -9 -15 ffffff
-1 -9 -15 ffffff
-2 -8 -15 ffffff
-1 -8 -15 ffffff
-2 -7 -15 ffffff
-1 -7 -15 ffffff
-2 -6 -15 fefefe
-1 -6 -15 ffffff
-2 -5 -15 ffffff
-1 -5 -15 fefefe
-2 -4 -15 ffffff
-1 -4 -15 ffffff
-2 -3 -15 fefefe
-1 -3 -15 ffffff
-2 -2 -15 ffffff
-1 -2 -15 fefefe
-2 -1 -15 ffffff
-1 -1 -15 ffffff
-1 -16 -14 fefefe
-1 -15 -14 fefefe
-2 -14 -14 fefefe
-1 -14 -14 ffffff
-2 -13 -14 ffffff
-1 -13 -14 fefefe
-3 -12 -14 ffffff
-2 -12 -14 ffffff
-1 -12 -14 ffffff
-3 -11 -14 fefefe
-2 -11 -14 ffffff
-1 -11 -14 ffffff
-3 -10 -14 ffffff
-2 -10 -14 ffffff
-1 -10 -14 ffffff
-3 -9 -14 ffffff
-2 -9 -14 ffffff
-1 -9 -14 ffffff
-3 -8 -14 fefefe
-2 -8 -14 ffffff
-1 -8 -14 fefefe
-3 -7 -14 ffffff
-2 -7 -14 ffffff
-1 -7 -14 ffffff
-3 -6 -14 ffffff
-2 -6 -14 ffffff
-1 -6 -14 ffffff
-3 -5 -14 ffffff
-2 -5 -14 ffffff
-1 -5 -14 fefefe
-3 -4 -14 ffffff
-2 -4 -14 ffffff
-1 -4 -14 ffffff
-3 -3 -14 fefefe
-2 -3 -14 ffffff
-1 -3 -14 ffffff
-4 -2 -14 ffffff
-3 -2 -14 ffffff
-2 -2 -14 ffffff
-1 -2 -14 fefefe
-4 -1 -14 ffffff
-3 -1 -14 ffffff
-2 -1 -14 ffffff
-1 -1 -14 fefefe
-2 -16 -13 ffffff
-1 -16 -13 fefefe
-2 -15 -13 ffffff
-1 -15 -13 ffffff
-2 -14 -13 ffffff
-1 -14 -13 ffffff
-4 -13 -13 ffffff
-3 -13 -13 fefefe
-2 -13 -13 fefefe
-1 -13 -13 ffffff
-5 -12 -13 ffffff
-4 -12 -13 ffffff
-3 -12 -13 ffffff
-2 -12 -13 ffffff
-1 -12 -13 ffffff
-5 -11 -13 ffffff
-4 -11 -13 ffffff
-3 -11 -13 ffffff
-2 -11 -13 fefefe
-3 -10 -13 ffffff
-2 -10 -13 ffffff
-1 -10 -13 ffffff
-4 -9 -13 ffffff
-3 -9 -13 ffffff
-2 -9 -13 ffffff
-1 -9 -13 ffffff
-4 -8 -13 ffffff
-3 -8 -13 ffffff
-2 -8 -13 ffffff
-1 -8 -13 fefefe
-4 -7 -13 ffffff
-3 -7 -13 ffffff
-2 -7 -13 ffffff
-1 -7 -13 fefefe
-4 -6 -13 ffffff
-3 -6 -13 fefefe
-2 -6 -13 ffffff
-4 -5 -13 ffffff
-3 -5 -13 fefefe
-2 -5 -13 ffffff
-1 -5 -13 ffffff
-4 -4 -13 ffffff
-3 -4 -13 ffffff
-2 -4 -13 ffffff
-1 -4 -13 ffffff
-4 -3 -13 fefefe
-3 -3 -13 ffffff
-2 -3 -13 ffffff
-1 -3 -13 fefefe
-5 -2 -13 ffffff
-4 -2 -13 ffffff
-3 -2 -13 ffffff
